Country,Category,X..Bars.in.flag,X..Stripes.in.flag,X..Colors.in.flag,red,green,blue,gold,white,black,orange,Dominant_Color,X..Circles.in.flag,X..sun.or.stars.in.flag,crescent,triangle,text,NAmerica,SAmerica,EU,AF,AS,OS,NE,SE,SW,NW,size1,size2,size3,population,English,Spanish,French,German,Chinese,Arabic
Tuvalu,other,no bar in flag,no stripe in the flag,5 colors in the flag,has red in flag,!has green in flag,has blue in flag,has yellow in flag,has white in flag,!has black in flag,!has orange or brown in flag,main flag color is blue,!has circle in the flag,has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,!has text in flag,!in North America,!in South America,!in Europe,!in Africa,!in Asia,in Oceania,!in North Eastern Hemisphere,in South Eastern Hemisphere,!in South Western Hemisphere,!in North Western Hemisphere,!larger than United States,!larger than United Kingdom,!larger than Turkey,!more than 100 million people,Speak English,!Speak Spanish,!Speak French,!Speak German,!Speak Chinese,!Speak Arabic
UAE,other,1 bar in flag,3 stripes in the flag,4 colors in the flag,has red in flag,has green in flag,!has blue in flag,!has yellow in flag,has white in flag,has black in flag,!has orange or brown in flag,main flag color is green,!has circle in the flag,!has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,!has text in flag,!in North America,!in South America,!in Europe,!in Africa,in Asia,!in Oceania,in North Eastern Hemisphere,!in South Eastern Hemisphere,!in South Western Hemisphere,!in North Western Hemisphere,!larger than United States,!larger than United Kingdom,!larger than Turkey,!more than 100 million people,!Speak English,!Speak Spanish,!Speak French,!Speak German,!Speak Chinese,Speak Arabic
Uganda,other,no bar in flag,6 stripes in the flag,5 colors in the flag,has red in flag,!has green in flag,!has blue in flag,has yellow in flag,has white in flag,has black in flag,!has orange or brown in flag,main flag color is gold,has circle in the flag,!has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,!has text in flag,!in North America,!in South America,!in Europe,in Africa,!in Asia,!in Oceania,in North Eastern Hemisphere,!in South Eastern Hemisphere,!in South Western Hemisphere,!in North Western Hemisphere,!larger than United States,!larger than United Kingdom,!larger than Turkey,!more than 100 million people,!Speak English,!Speak Spanish,!Speak French,!Speak German,!Speak Chinese,!Speak Arabic
UK,other,no bar in flag,no stripe in the flag,3 colors in the flag,has red in flag,!has green in flag,has blue in flag,!has yellow in flag,has white in flag,!has black in flag,!has orange or brown in flag,main flag color is red,!has circle in the flag,!has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,!has text in flag,!in North America,!in South America,in Europe,!in Africa,!in Asia,!in Oceania,!in North Eastern Hemisphere,!in South Eastern Hemisphere,!in South Western Hemisphere,in North Western Hemisphere,!larger than United States,!larger than United Kingdom,!larger than Turkey,!more than 100 million people,Speak English,!Speak Spanish,!Speak French,!Speak German,!Speak Chinese,!Speak Arabic
Uruguay,other,no bar in flag,9 stripes in the flag,3 colors in the flag,!has red in flag,!has green in flag,has blue in flag,has yellow in flag,has white in flag,!has black in flag,!has orange or brown in flag,main flag color is white,!has circle in the flag,has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,!has text in flag,!in North America,in South America,!in Europe,!in Africa,!in Asia,!in Oceania,!in North Eastern Hemisphere,!in South Eastern Hemisphere,in South Western Hemisphere,!in North Western Hemisphere,!larger than United States,!larger than United Kingdom,!larger than Turkey,!more than 100 million people,!Speak English,Speak Spanish,!Speak French,!Speak German,!Speak Chinese,!Speak Arabic
US-Virgin-Isles,other,no bar in flag,no stripe in the flag,6 colors in the flag,has red in flag,has green in flag,has blue in flag,has yellow in flag,has white in flag,!has black in flag,!has orange or brown in flag,main flag color is white,!has circle in the flag,!has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,has text in flag,in North America,!in South America,!in Europe,!in Africa,!in Asia,!in Oceania,!in North Eastern Hemisphere,!in South Eastern Hemisphere,!in South Western Hemisphere,in North Western Hemisphere,!larger than United States,!larger than United Kingdom,!larger than Turkey,!more than 100 million people,Speak English,!Speak Spanish,!Speak French,!Speak German,!Speak Chinese,!Speak Arabic
USA,other,no bar in flag,1 stripe in the flag3 stripes in the flag,3 colors in the flag,has red in flag,!has green in flag,has blue in flag,!has yellow in flag,has white in flag,!has black in flag,!has orange or brown in flag,main flag color is white,!has circle in the flag,has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,!has text in flag,in North America,!in South America,!in Europe,!in Africa,!in Asia,!in Oceania,!in North Eastern Hemisphere,!in South Eastern Hemisphere,!in South Western Hemisphere,in North Western Hemisphere,!larger than United States,larger than United Kingdom,larger than Turkey,more than 100 million people,Speak English,!Speak Spanish,!Speak French,!Speak German,!Speak Chinese,!Speak Arabic
USSR,other,no bar in flag,no stripe in the flag,2 colors in the flag,has red in flag,!has green in flag,!has blue in flag,has yellow in flag,!has white in flag,!has black in flag,!has orange or brown in flag,main flag color is red,!has circle in the flag,has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,!has text in flag,!in North America,!in South America,!in Europe,!in Africa,in Asia,!in Oceania,in North Eastern Hemisphere,!in South Eastern Hemisphere,!in South Western Hemisphere,!in North Western Hemisphere,larger than United States,larger than United Kingdom,larger than Turkey,more than 100 million people,!Speak English,!Speak Spanish,!Speak French,!Speak German,!Speak Chinese,!Speak Arabic
Vanuatu,other,no bar in flag,no stripe in the flag,4 colors in the flag,has red in flag,has green in flag,!has blue in flag,has yellow in flag,!has white in flag,has black in flag,!has orange or brown in flag,main flag color is red,!has circle in the flag,!has sun or star in the flag,!has crescent moon symbol in flag,has triangle in flag,!has text in flag,!in North America,!in South America,!in Europe,!in Africa,!in Asia,in Oceania,!in North Eastern Hemisphere,in South Eastern Hemisphere,!in South Western Hemisphere,!in North Western Hemisphere,!larger than United States,!larger than United Kingdom,!larger than Turkey,!more than 100 million people,!Speak English,!Speak Spanish,!Speak French,!Speak German,!Speak Chinese,!Speak Arabic
Vatican-City,other,2 bar in flag,no stripe in the flag,4 colors in the flag,has red in flag,!has green in flag,!has blue in flag,has yellow in flag,has white in flag,has black in flag,!has orange or brown in flag,main flag color is gold,!has circle in the flag,!has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,!has text in flag,!in North America,!in South America,in Europe,!in Africa,!in Asia,!in Oceania,in North Eastern Hemisphere,!in South Eastern Hemisphere,!in South Western Hemisphere,!in North Western Hemisphere,!larger than United States,!larger than United Kingdom,!larger than Turkey,!more than 100 million people,!Speak English,!Speak Spanish,!Speak French,!Speak German,!Speak Chinese,!Speak Arabic
Venezuela,other,no bar in flag,3 stripes in the flag,7 colors in the flag,has red in flag,has green in flag,has blue in flag,has yellow in flag,has white in flag,has black in flag,has orange or brown in flag,main flag color is red,!has circle in the flag,has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,!has text in flag,!in North America,in South America,!in Europe,!in Africa,!in Asia,!in Oceania,!in North Eastern Hemisphere,!in South Eastern Hemisphere,!in South Western Hemisphere,in North Western Hemisphere,!larger than United States,larger than United Kingdom,larger than Turkey,!more than 100 million people,!Speak English,Speak Spanish,!Speak French,!Speak German,!Speak Chinese,!Speak Arabic
Vietnam,other,no bar in flag,no stripe in the flag,2 colors in the flag,has red in flag,!has green in flag,!has blue in flag,has yellow in flag,!has white in flag,!has black in flag,!has orange or brown in flag,main flag color is red,!has circle in the flag,has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,!has text in flag,!in North America,!in South America,!in Europe,!in Africa,in Asia,!in Oceania,in North Eastern Hemisphere,!in South Eastern Hemisphere,!in South Western Hemisphere,!in North Western Hemisphere,!larger than United States,larger than United Kingdom,!larger than Turkey,!more than 100 million people,!Speak English,!Speak Spanish,!Speak French,!Speak German,!Speak Chinese,!Speak Arabic
Western-Samoa,other,no bar in flag,no stripe in the flag,3 colors in the flag,has red in flag,!has green in flag,has blue in flag,!has yellow in flag,has white in flag,!has black in flag,!has orange or brown in flag,main flag color is red,!has circle in the flag,has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,!has text in flag,!in North America,!in South America,!in Europe,!in Africa,!in Asia,in Oceania,!in North Eastern Hemisphere,!in South Eastern Hemisphere,in South Western Hemisphere,!in North Western Hemisphere,!larger than United States,!larger than United Kingdom,!larger than Turkey,!more than 100 million people,Speak English,!Speak Spanish,!Speak French,!Speak German,!Speak Chinese,!Speak Arabic
Yugoslavia,other,no bar in flag,3 stripes in the flag,4 colors in the flag,has red in flag,!has green in flag,has blue in flag,has yellow in flag,has white in flag,!has black in flag,!has orange or brown in flag,main flag color is red,!has circle in the flag,has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,!has text in flag,!in North America,!in South America,in Europe,!in Africa,!in Asia,!in Oceania,in North Eastern Hemisphere,!in South Eastern Hemisphere,!in South Western Hemisphere,!in North Western Hemisphere,!larger than United States,larger than United Kingdom,!larger than Turkey,!more than 100 million people,!Speak English,!Speak Spanish,!Speak French,!Speak German,!Speak Chinese,!Speak Arabic
Zaire,other,no bar in flag,no stripe in the flag,4 colors in the flag,has red in flag,has green in flag,!has blue in flag,has yellow in flag,!has white in flag,!has black in flag,has orange or brown in flag,main flag color is green,has circle in the flag,!has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,!has text in flag,!in North America,!in South America,!in Europe,in Africa,!in Asia,!in Oceania,!in North Eastern Hemisphere,in South Eastern Hemisphere,!in South Western Hemisphere,!in North Western Hemisphere,!larger than United States,larger than United Kingdom,larger than Turkey,!more than 100 million people,!Speak English,!Speak Spanish,!Speak French,!Speak German,!Speak Chinese,!Speak Arabic
Zambia,other,3 bar in flag,no stripe in the flag,4 colors in the flag,has red in flag,has green in flag,!has blue in flag,!has yellow in flag,!has white in flag,has black in flag,has orange or brown in flag,main flag color is green,!has circle in the flag,!has sun or star in the flag,!has crescent moon symbol in flag,!has triangle in flag,!has text in flag,!in North America,!in South America,!in Europe,in Africa,!in Asia,!in Oceania,!in North Eastern Hemisphere,in South Eastern Hemisphere,!in South Western Hemisphere,!in North Western Hemisphere,!larger than United States,larger than United Kingdom,!larger than Turkey,!more than 100 million people,!Speak English,!Speak Spanish,!Speak French,!Speak German,!Speak Chinese,!Speak Arabic
Zimbabwe,other,no bar in flag,7 stripes in the flag,5 colors in the flag,has red in flag,has green in flag,!has blue in flag,has yellow in flag,has white in flag,has black in flag,!has orange or brown in flag,main flag color is green,!has circle in the flag,has sun or star in the flag,!has crescent moon symbol in flag,has triangle in flag,!has text in flag,!in North America,!in South America,!in Europe,in Africa,!in Asia,!in Oceania,!in North Eastern Hemisphere,in South Eastern Hemisphere,!in South Western Hemisphere,!in North Western Hemisphere,!larger than United States,larger than United Kingdom,!larger than Turkey,!more than 100 million people,!Speak English,!Speak Spanish,!Speak French,!Speak German,!Speak Chinese,!Speak Arabic
